pair,score,n_contribs_in_window,tightest_gap_days,pair_total_usd,n_contribs_total,member,party,state,entity_id,bioguide
NATIONAL FOOTBALL LEAGUE -> John Thune,5000.0,1,19.0,20000.0,6,John Thune,Republican,SD,641,T000250
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Tammy Duckworth,5000.0,1,19.0,9500.0,3,Tammy Duckworth,Democrat,IL,635,D000622
AMERICAN CLEAN POWER ASSOCIATION -> Randy Feenstra,5000.0,2,19.0,16500.0,8,Randy Feenstra,Republican,IA,331,F000446
LPL FINANCIAL LLC -> Katie Boyd Britt,5000.0,1,20.0,5000.0,1,Katie Boyd Britt,Republican,AL,1698,B001319
NORTHROP GRUMMAN CORPORATION -> Tim Kaine,5000.0,2,20.0,25000.0,11,Tim Kaine,Democrat,VA,1372,K000384
"KOCH GOVERNMENT AFFAIRS, LLC (FKA KOCH COMPANIES PUBLIC SECTOR, LLC) -> Andy Barr",5000.0,2,20.0,32500.0,10,Andy Barr,Republican,KY,621,B001282
NATIONAL ASSOCIATION OF BROADCASTERS -> Brian Schatz,5000.0,1,20.0,22250.0,6,Brian Schatz,Democrat,HI,325,S001194
EVERYTOWN FOR GUN SAFETY ACTION FUND -> Lucy McBath,5000.0,1,20.0,5000.0,1,Lucy McBath,Democrat,GA,79,M001208
CSX CORPORATION -> Tim Kaine,5000.0,1,21.0,25000.0,5,Tim Kaine,Democrat,VA,1959,K000384
BOEING COMPANY -> Chuck Grassley,5000.0,1,21.0,24000.0,7,Chuck Grassley,Republican,IA,1942,G000386
NORTHROP GRUMMAN CORPORATION -> Joe Courtney,5000.0,1,21.0,41000.0,11,Joe Courtney,Democrat,CT,1372,C001069
ASTRAZENECA PHARMACEUTICALS LP -> John Barrasso,5000.0,1,21.0,21000.0,8,John Barrasso,Republican,WY,1329,B001261
"AMAZON.COM SERVICES, INC. -> Doris O. Matsui",5000.0,1,21.0,20000.0,4,Doris O. Matsui,Democrat,CA,1225,M001163
"NOVO NORDISK, INC. -> Ruben Gallego",5000.0,1,21.0,5000.0,1,Ruben Gallego,Democrat,AZ,1215,G000574
AMERICAN OPTOMETRIC ASSOCIATION -> John Boozman,5000.0,1,21.0,24000.0,5,John Boozman,Republican,AR,660,B001236
CTIA - THE WIRELESS ASSOCIATION -> Doris O. Matsui,5000.0,1,21.0,20250.0,5,Doris O. Matsui,Democrat,CA,327,M001163
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Brian K. Fitzpatrick",5000.0,1,21.0,40000.0,8,Brian K. Fitzpatrick,Republican,PA,61,F000466
BOEING COMPANY -> Roger F. Wicker,5000.0,1,22.0,26250.0,8,Roger F. Wicker,Republican,MS,1942,W000437
"AIRBUS AMERICAS, INC. (FORMERLY KNOWN AS AIRBUS GROUP, INC.) -> Roger F. Wicker",5000.0,1,22.0,13000.0,4,Roger F. Wicker,Republican,MS,1282,W000437
AMERICAN ASSOCIATION OF NURSE PRACTITIONERS -> Darin LaHood,5000.0,1,22.0,10000.0,3,Darin LaHood,Republican,IL,305,L000585
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Chris Pappas",5000.0,1,22.0,15000.0,5,Chris Pappas,Democrat,NH,61,P000614
UNION PACIFIC CORPORATION -> Chuck Grassley,5000.0,2,23.0,24000.0,7,Chuck Grassley,Republican,IA,1465,G000386
NATIONAL ASSOCIATION OF BROADCASTERS -> John Barrasso,5000.0,1,23.0,30000.0,6,John Barrasso,Republican,WY,325,B001261
"ENTERGY SERVICES, LLC -> Bill Cassidy",5000.0,1,24.0,17500.0,5,Bill Cassidy,Republican,LA,1231,C001075
MORGAN STANLEY & CO. LLC -> Mike Flood,5000.0,2,24.0,5000.0,2,Mike Flood,Republican,NE,939,F000474
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> John Garamendi",5000.0,1,24.0,15000.0,4,John Garamendi,Democrat,CA,61,G000559
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION -> John Hoeven,5000.0,1,25.0,5000.0,1,John Hoeven,Republican,ND,157,H001061
"PFIZER, INC. -> Tim Kaine",5000.0,1,27.0,34500.0,9,Tim Kaine,Democrat,VA,1879,K000384
"AMAZON.COM SERVICES, INC. -> Shelley Moore Capito",5000.0,1,27.0,17500.0,5,Shelley Moore Capito,Republican,WV,1225,C001047
"HUNTINGTON INGALLS INDUSTRIES, INC. (FKA HUNTINGTON INGALLS INCORPORATED) -> Cindy Hyde-Smith",5000.0,3,27.0,28000.0,16,Cindy Hyde-Smith,Republican,MS,697,H001079
NCTA - THE INTERNET & TELEVISION ASSOCIATION (FKA NAT'L CABLE & TELECOM ASSOC.) -> Tim Kaine,5000.0,1,27.0,10000.0,2,Tim Kaine,Democrat,VA,75,K000384
340B HEALTH -> Doris O. Matsui,5000.0,1,28.0,12500.0,5,Doris O. Matsui,Democrat,CA,1412,M001163
"HUMANA, INC. -> Mark R. Warner",5000.0,1,29.0,12500.0,3,Mark R. Warner,Democrat,VA,1920,W000805
