pair,score,n_contribs_in_window,tightest_gap_days,pair_total_usd,n_contribs_total,member,party,state,entity_id,bioguide
"LOWE'S COMPANIES, INC., -> Alma S. Adams",2500.0,1,13.0,20500.0,8,Alma S. Adams,Democrat,NC,1396,A000370
AMERICAN LAND TITLE ASSOCIATION -> Emanuel Cleaver,2500.0,1,13.0,37500.0,11,Emanuel Cleaver,Democrat,MO,388,C001061
SOLAR ENERGY INDUSTRIES ASSOCIATION -> Susie Lee,2500.0,1,13.0,2625.0,2,Susie Lee,Democrat,NV,363,L000590
EASTMAN CHEMICAL COMPANY -> Martin Heinrich,2500.0,1,14.0,2500.0,1,Martin Heinrich,Democrat,NM,1325,H001046
NATIONAL MINING ASSOCIATION -> Ryan K. Zinke,2500.0,2,14.0,14498.86,12,Ryan K. Zinke,Republican,MT,674,Z000018
ELI LILLY AND COMPANY -> Bill Cassidy,2500.0,1,14.0,17500.0,5,Bill Cassidy,Republican,LA,622,C001075
"DAVITA, INC. -> Carol D. Miller",2500.0,1,15.0,10000.0,5,Carol D. Miller,Republican,WV,1898,M001205
THE KROGER CO. -> Adrian Smith,2500.0,1,15.0,4500.0,3,Adrian Smith,Republican,NE,1379,S001172
"MERCK & COMPANY, INC. -> Katherine M. Clark",2500.0,1,15.0,7500.0,3,Katherine M. Clark,Democrat,MA,1232,C001101
"AMAZON.COM SERVICES, INC. -> Cindy Hyde-Smith",2500.0,1,15.0,2500.0,1,Cindy Hyde-Smith,Republican,MS,1225,H001079
GENERAL DYNAMICS CORPORATION -> Ron Wyden,2500.0,1,15.0,9500.0,6,Ron Wyden,Democrat,OR,1201,W000779
NATIONAL FOOTBALL LEAGUE -> David Schweikert,2500.0,1,15.0,10000.0,3,David Schweikert,Republican,AZ,641,S001183
"WALMART INC. -> Robert C. ""Bobby"" Scott",2500.0,1,16.0,10000.0,4,"Robert C. ""Bobby"" Scott",Democrat,VA,1881,S000185
UNION PACIFIC CORPORATION -> Mike Flood,2500.0,1,16.0,37500.0,11,Mike Flood,Republican,NE,1465,F000474
ALZHEIMER'S ASSOCIATION -> Chrissy Houlahan,2500.0,1,17.0,2500.0,1,Chrissy Houlahan,Democrat,PA,1340,H001085
"ALBERTSONS COMPANIES, INC. -> Mike Crapo",2500.0,1,17.0,10000.0,3,Mike Crapo,Republican,ID,1283,C000880
ELI LILLY AND COMPANY -> Jim Banks,2500.0,1,17.0,11500.0,6,Jim Banks,Republican,IN,622,B001299
ALZHEIMER'S ASSOCIATION -> Vern Buchanan,2500.0,1,19.0,2500.0,1,Vern Buchanan,Republican,FL,1340,B001260
NATIONAL FOOTBALL LEAGUE -> Tammy Baldwin,2500.0,1,19.0,12500.0,4,Tammy Baldwin,Democrat,WI,641,B001230
"EBAY, INC. -> Carol D. Miller",2500.0,1,20.0,5000.0,2,Carol D. Miller,Republican,WV,1957,M001205
"WALGREEN COMPANY -> Earl L. ""Buddy"" Carter",2500.0,1,20.0,15000.0,6,"Earl L. ""Buddy"" Carter",Republican,GA,1900,C001103
MICROSOFT CORPORATION -> Bryan Steil,2500.0,1,20.0,17000.0,7,Bryan Steil,Republican,WI,1875,S001213
GENERAL MOTORS COMPANY -> Marcy Kaptur,2500.0,2,20.0,2500.0,2,Marcy Kaptur,Democrat,OH,1208,K000009
GENERAL MOTORS COMPANY -> John R. Moolenaar,2500.0,1,20.0,11000.0,5,John R. Moolenaar,Republican,MI,1208,M001194
NATIONAL PORK PRODUCERS COUNCIL -> Ronny Jackson,2500.0,1,20.0,10000.0,3,Ronny Jackson,Republican,TX,405,J000304
GENERAL DYNAMICS CORPORATION -> Trent Kelly,2500.0,1,21.0,33500.0,14,Trent Kelly,Republican,MS,1201,K000388
WALMART INC. -> Michael Lawler,2500.0,2,22.0,6500.0,6,Michael Lawler,Republican,NY,1881,L000599
"LUMEN TECHNOLOGIES (FORMERLY KNOWN AS CENTURYLINK, INC.) -> Ron Wyden",2500.0,1,22.0,5000.0,2,Ron Wyden,Democrat,OR,1427,W000779
NATIONAL MINING ASSOCIATION -> Jim Costa,2500.0,2,22.0,2500.0,2,Jim Costa,Democrat,CA,674,C001059
"MICROSOFT CORPORATION -> Donald S. Beyer, Jr.",2500.0,1,23.0,2500.0,1,"Donald S. Beyer, Jr.",Democrat,VA,1875,B001292
CVS HEALTH (AND SUBSIDIARIES) -> Janice D. Schakowsky,2500.0,1,24.0,3000.0,2,Janice D. Schakowsky,Democrat,IL,1230,S001145
"AMERICAN AIRLINES INC (FORMERLY REPORTED AS ""AMERICAN AIRLINES"") -> Carlos A. Gimenez",2500.0,1,25.0,14500.0,6,Carlos A. Gimenez,Republican,FL,1202,G000593
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Bonnie Watson Coleman",2500.0,1,25.0,12500.0,4,Bonnie Watson Coleman,Democrat,NJ,61,W000822
NUCOR CORPORATION -> Mike Flood,2500.0,1,26.0,17500.0,7,Mike Flood,Republican,NE,2041,F000474
CAPITAL ONE FINANCIAL CORPORATION -> Mark R. Warner,2500.0,2,26.0,16500.0,8,Mark R. Warner,Democrat,VA,689,W000805
ELI LILLY AND COMPANY -> Vern Buchanan,2500.0,1,26.0,11500.0,5,Vern Buchanan,Republican,FL,622,B001260
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Shelley Moore Capito",2500.0,1,26.0,5000.0,2,Shelley Moore Capito,Republican,WV,402,C001047
MICROSOFT CORPORATION -> Rand Paul,2500.0,1,27.0,9500.0,4,Rand Paul,Republican,KY,1875,P000603
CENTER FOR SPORTFISHING POLICY (FKA CENTER FOR COASTAL CONSERVATION) -> Russell Fry,2500.0,1,27.0,5000.0,2,Russell Fry,Republican,SC,467,F000478
CTIA - THE WIRELESS ASSOCIATION -> Jerry Moran,2500.0,1,27.0,3500.0,2,Jerry Moran,Republican,KS,327,M000934
EVERYTOWN FOR GUN SAFETY ACTION FUND -> Mazie K. Hirono,2500.0,1,27.0,2500.0,1,Mazie K. Hirono,Democrat,HI,79,H001042
GENERAL DYNAMICS CORPORATION -> Mike Collins,2500.0,2,28.0,8500.0,5,Mike Collins,Republican,GA,1201,C001129
"CARGILL, INCORPORATED -> Tracey Mann",2500.0,2,29.0,11000.0,8,Tracey Mann,Republican,KS,1926,M000871
NORTHROP GRUMMAN CORPORATION -> Mike Ezell,2500.0,1,29.0,10000.0,4,Mike Ezell,Republican,MS,1372,E000235
CAPITAL ONE FINANCIAL CORPORATION -> Alma S. Adams,2500.0,1,29.0,7000.0,4,Alma S. Adams,Democrat,NC,689,A000370
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> David G. Valadao",2500.0,1,29.0,9500.0,5,David G. Valadao,Republican,CA,402,V000129
SIEMENS CORPORATION -> Doris O. Matsui,2500.0,1,30.0,9000.0,4,Doris O. Matsui,Democrat,CA,1952,M001163
"GARMIN INTERNATIONAL, INC. (FORMERLY REPORTED AS GARMIN LTD.) -> Sharice Davids",2500.0,1,30.0,17500.0,5,Sharice Davids,Democrat,KS,1510,D000629
GENERAL DYNAMICS CORPORATION -> John Fetterman,2500.0,1,30.0,5000.0,2,John Fetterman,Democrat,PA,1201,F000479
NATIONAL VENTURE CAPITAL ASSOCIATION -> David Kustoff,2500.0,1,30.0,3500.0,2,David Kustoff,Republican,TN,386,K000392
PACIFIC GAS AND ELECTRIC COMPANY (FORMERLY PG&E CORPORATION) -> Ron Wyden,2500.0,1,30.0,10500.0,5,Ron Wyden,Democrat,OR,379,W000779
NATIONAL MINING ASSOCIATION -> Celeste Maloy,2500.0,1,31.0,7255.0,7,Celeste Maloy,Republican,UT,674,M001228
"LIVE NATION ENTERTAINMENT, INC. -> Tom Cotton",2500.0,1,31.0,2500.0,1,Tom Cotton,Republican,AR,646,C001095
NOVARTIS CORPORATION -> Jim Banks,2500.0,1,32.0,3500.0,2,Jim Banks,Republican,IN,1885,B001299
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Chris Van Hollen",2500.0,1,32.0,17500.0,6,Chris Van Hollen,Democrat,MD,61,V000128
AMERICAN VETERINARY MEDICAL ASSOCIATION -> John Garamendi,2500.0,1,33.0,7500.0,5,John Garamendi,Democrat,CA,411,G000559
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS -> Raphael G. Warnock,2500.0,1,33.0,15000.0,4,Raphael G. Warnock,Democrat,GA,200,W000790
NORTHROP GRUMMAN CORPORATION -> John R. Curtis,2500.0,1,34.0,6000.0,3,John R. Curtis,Republican,UT,1372,C001114
TIAA -> Alma S. Adams,2500.0,1,35.0,22500.0,8,Alma S. Adams,Democrat,NC,1998,A000370
TIAA -> Katherine M. Clark,2500.0,1,35.0,12000.0,5,Katherine M. Clark,Democrat,MA,1998,C001101
"LOWE'S COMPANIES, INC., -> Emilia Strong Sykes",2500.0,1,35.0,2500.0,1,Emilia Strong Sykes,Democrat,OH,1396,S001223
AMERICA'S ESSENTIAL HOSPITALS -> Ron Wyden,2500.0,1,35.0,3500.0,2,Ron Wyden,Democrat,OR,888,W000779
"LOWE'S COMPANIES, INC., -> Chuck Edwards",2500.0,1,36.0,9500.0,4,Chuck Edwards,Republican,NC,1396,E000246
"ENTERGY SERVICES, LLC -> Mark R. Warner",2500.0,1,36.0,15000.0,4,Mark R. Warner,Democrat,VA,1231,W000805
GENERAL MOTORS COMPANY -> Todd Young,2500.0,1,36.0,8500.0,4,Todd Young,Republican,IN,1208,Y000064
"EMBRAER AIRCRAFT HOLDING, INC. -> John H. Rutherford",2500.0,1,36.0,10500.0,5,John H. Rutherford,Republican,FL,885,R000609
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Rick Scott,2500.0,1,36.0,8500.0,4,Rick Scott,Republican,FL,635,S001217
"EDWARD D. JONES & CO., L.P. -> Maria Elvira Salazar",2500.0,1,36.0,2500.0,1,Maria Elvira Salazar,Republican,FL,346,S000168
"SALTCHUK RESOURCES, INC. -> Mark Kelly",2500.0,1,37.0,2500.0,1,Mark Kelly,Democrat,AZ,1565,K000377
"SALTCHUK RESOURCES, INC. -> Trent Kelly",2500.0,1,37.0,5000.0,2,Trent Kelly,Republican,MS,1565,K000388
ASTRAZENECA PHARMACEUTICALS LP -> Yvette D. Clarke,2500.0,1,37.0,7500.0,3,Yvette D. Clarke,Democrat,NY,1329,C001067
CVS HEALTH (AND SUBSIDIARIES) -> Vern Buchanan,2500.0,1,37.0,5000.0,2,Vern Buchanan,Republican,FL,1230,B001260
"ANHEUSER-BUSCH COMPANIES, INC. -> Margaret Wood Hassan",2500.0,1,37.0,10000.0,3,Margaret Wood Hassan,Democrat,NH,618,H001076
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION -> Mark R. Warner,2500.0,1,37.0,11600.0,4,Mark R. Warner,Democrat,VA,157,W000805
MICROSOFT CORPORATION -> Martin Heinrich,2500.0,1,38.0,35000.0,9,Martin Heinrich,Democrat,NM,1875,H001046
AMERICAN FOREST & PAPER ASSOCIATION -> John Barrasso,2500.0,1,38.0,7500.0,3,John Barrasso,Republican,WY,207,B001261
MICROSOFT CORPORATION -> Thomas R. Suozzi,2500.0,1,39.0,2500.0,1,Thomas R. Suozzi,Democrat,NY,1875,S001201
NUCOR CORPORATION -> Norma J. Torres,2500.0,1,40.0,13500.0,6,Norma J. Torres,Democrat,CA,2041,T000474
NATIONAL FOOTBALL LEAGUE -> Mike Lee,2500.0,1,40.0,7500.0,2,Mike Lee,Republican,UT,641,L000577
"T-MOBILE USA, INC. -> Mark R. Warner",2500.0,1,41.0,19500.0,7,Mark R. Warner,Democrat,VA,615,W000805
FRESENIUS MEDICAL CARE NORTH AMERICA (FKA FRESENIUS MEDICAL CARE) -> Yvette D. Clarke,2500.0,2,41.0,18500.0,9,Yvette D. Clarke,Democrat,NY,148,C001067
BNSF RAILWAY COMPANY -> Dusty Johnson,2500.0,1,43.0,10500.0,6,Dusty Johnson,Republican,SD,1322,J000301
NATIONAL FOOTBALL LEAGUE -> Tim Scott,2500.0,1,43.0,15000.0,4,Tim Scott,Republican,SC,641,S001184
ELI LILLY AND COMPANY -> Katherine M. Clark,2500.0,1,43.0,20500.0,7,Katherine M. Clark,Democrat,MA,622,C001101
BERKSHIRE HATHAWAY ENERGY -> John R. Curtis,2500.0,2,44.0,30000.0,12,John R. Curtis,Republican,UT,738,C001114
3M COMPANY -> Betty McCollum,2500.0,1,45.0,30000.0,10,Betty McCollum,Democrat,MN,1923,M001143
ASTRAZENECA PHARMACEUTICALS LP -> Richard E. Neal,2500.0,1,45.0,17500.0,5,Richard E. Neal,Democrat,MA,1329,N000015
"ELEVANCE HEALTH, INC. (FORMERLY REPORTED AS ANTHEM, INC.) -> Steven Horsford",2500.0,1,45.0,31500.0,13,Steven Horsford,Democrat,NV,1249,H001066
"AMAZON.COM SERVICES, INC. -> Erin Houchin",2500.0,1,45.0,9000.0,5,Erin Houchin,Republican,IN,1225,H001093
GENERAL MOTORS COMPANY -> Salud O. Carbajal,2500.0,1,45.0,6500.0,4,Salud O. Carbajal,Democrat,CA,1208,C001112
BANK OF AMERICA CORPORATION -> Sean Casten,2500.0,1,45.0,5500.0,3,Sean Casten,Democrat,IL,821,C001117
"LIVE NATION ENTERTAINMENT, INC. -> Marsha Blackburn",2500.0,1,45.0,3500.0,3,Marsha Blackburn,Republican,TN,646,B001243
NORTHROP GRUMMAN CORPORATION -> Rosa L. DeLauro,2500.0,1,46.0,26000.0,10,Rosa L. DeLauro,Democrat,CT,1372,D000216
"HONEYWELL INTERNATIONAL, INC. -> Sharice Davids",2500.0,2,46.0,25000.0,13,Sharice Davids,Democrat,KS,1218,D000629
CENTER FOR SPORTFISHING POLICY (FKA CENTER FOR COASTAL CONSERVATION) -> John H. Rutherford,2500.0,1,46.0,2500.0,1,John H. Rutherford,Republican,FL,467,R000609
SAILDRONE INC. -> Tommy Tuberville,2500.0,1,47.0,4000.0,3,Tommy Tuberville,Republican,AL,2185,T000278
NATIONAL PORK PRODUCERS COUNCIL -> Deb Fischer,2500.0,1,47.0,2500.0,1,Deb Fischer,Republican,NE,405,F000463
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Robert B. Aderholt",2500.0,1,47.0,6893.5,6,Robert B. Aderholt,Republican,AL,402,A000055
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Yassamin Ansari",2500.0,1,47.0,5000.0,2,Yassamin Ansari,Democrat,AZ,61,A000381
MICROSOFT CORPORATION -> Mike Rounds,2500.0,1,48.0,22500.0,6,Mike Rounds,Republican,SD,1875,R000605
EXXON MOBIL CORPORATION -> Shelley Moore Capito,2500.0,1,48.0,18500.0,6,Shelley Moore Capito,Republican,WV,1285,C001047
NORFOLK SOUTHERN CORPORATION -> Shontel M. Brown,2500.0,1,48.0,11500.0,7,Shontel M. Brown,Democrat,OH,1256,B001313
"PALANTIR TECHNOLOGIES, INC. -> Roger F. Wicker",2500.0,1,48.0,3500.0,2,Roger F. Wicker,Republican,MS,1214,W000437
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Troy A. Carter,2500.0,1,49.0,10500.0,6,Troy A. Carter,Democrat,LA,635,C001125
BANK OF AMERICA CORPORATION -> Tim Scott,2500.0,1,50.0,20000.0,6,Tim Scott,Republican,SC,821,S001184
BLACKROCK FUNDS SERVICES GROUP LLC (FORMERLY BLACKROCK CAPITAL MANAGEMENT INC.) -> Tammy Baldwin,2500.0,1,50.0,12500.0,4,Tammy Baldwin,Democrat,WI,328,B001230
MICROSOFT CORPORATION -> Ted Lieu,2500.0,1,51.0,12500.0,4,Ted Lieu,Democrat,CA,1875,L000582
WALMART INC. -> Jennifer L. McClellan,2500.0,1,52.0,4500.0,3,Jennifer L. McClellan,Democrat,VA,1881,M001227
NATIONAL FOOTBALL LEAGUE -> Margaret Wood Hassan,2500.0,1,52.0,7500.0,2,Margaret Wood Hassan,Democrat,NH,641,H001076
"CITIGROUP WASHINGTON, INC. -> Sean Casten",2500.0,1,53.0,9500.0,5,Sean Casten,Democrat,IL,1236,C001117
"NOMURA HOLDING AMERICA, INC. -> Mark R. Warner",2500.0,1,53.0,4500.0,3,Mark R. Warner,Democrat,VA,1031,W000805
"MICRON TECHNOLOGY, INC. -> Tim Kaine",2500.0,1,54.0,2500.0,1,Tim Kaine,Democrat,VA,1228,K000384
"HONEYWELL INTERNATIONAL, INC. -> Jeanne Shaheen",2500.0,1,54.0,20250.0,7,Jeanne Shaheen,Democrat,NH,1218,S001181
"APPLIED MATERIALS, INC. -> Mark R. Warner",2500.0,1,55.0,5000.0,2,Mark R. Warner,Democrat,VA,1265,W000805
"COINBASE, INC. -> Cynthia M. Lummis",2500.0,1,56.0,26100.0,6,Cynthia M. Lummis,Republican,WY,1894,L000571
AMERICA'S ESSENTIAL HOSPITALS -> Doris O. Matsui,2500.0,1,56.0,3500.0,2,Doris O. Matsui,Democrat,CA,888,M001163
BLUE CROSS AND BLUE SHIELD ASSOCIATION -> Alma S. Adams,2500.0,1,56.0,7500.0,2,Alma S. Adams,Democrat,NC,256,A000370
CSX CORPORATION -> Steny H. Hoyer,2500.0,1,57.0,12500.0,3,Steny H. Hoyer,Democrat,MD,1959,H000874
CSX CORPORATION -> Kweisi Mfume,2500.0,1,57.0,4500.0,2,Kweisi Mfume,Democrat,MD,1959,M000687
"PEPSICO, INC. -> Sean Casten",2500.0,1,57.0,3500.0,2,Sean Casten,Democrat,IL,1897,C001117
FAIR ISAAC CORPORATION (DBA FICO) -> Alma S. Adams,2500.0,1,57.0,17500.0,5,Alma S. Adams,Democrat,NC,1294,A000370
"AMAZON.COM SERVICES, INC. -> Lisa Murkowski",2500.0,1,57.0,9000.0,4,Lisa Murkowski,Republican,AK,1225,M001153
"DAVITA, INC. -> Beth Van Duyne",2500.0,1,58.0,2500.0,1,Beth Van Duyne,Republican,TX,1898,V000134
GENERAL MOTORS COMPANY -> Rosa L. DeLauro,2500.0,1,58.0,3500.0,2,Rosa L. DeLauro,Democrat,CT,1208,D000216
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Ruben Gallego",2500.0,1,59.0,8500.0,4,Ruben Gallego,Democrat,AZ,61,G000574
FAIR ISAAC CORPORATION (DBA FICO) -> Tim Scott,2100.0,1,7.0,20000.0,5,Tim Scott,Republican,SC,1294,S001184
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Brad Sherman,2100.0,1,9.0,20000.0,5,Brad Sherman,Democrat,CA,145,S000344
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Don Bacon,2100.0,1,15.0,15000.0,4,Don Bacon,Republican,NE,145,B001298
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Tim Scott,2100.0,1,21.0,5000.0,2,Tim Scott,Republican,SC,145,S001184
LEAGUE OF CONSERVATION VOTERS -> Gabe Vasquez,2050.0,3,3.0,20568.3,25,Gabe Vasquez,Democrat,NM,508,V000136
LEAGUE OF CONSERVATION VOTERS -> Emilia Strong Sykes,2013.3400000000001,3,8.0,18618.88,23,Emilia Strong Sykes,Democrat,OH,508,S001223
"COVESTRO, LLC -> Shelley Moore Capito",2000.0,1,1.0,6000.0,4,Shelley Moore Capito,Republican,WV,2231,C001047
CONTINENTAL CASUALTY COMPANY -> Tammy Duckworth,2000.0,1,3.0,3000.0,2,Tammy Duckworth,Democrat,IL,1811,D000622
"ALASKA AIRLINES, INC. -> Lisa Murkowski",2000.0,1,4.0,3000.0,2,Lisa Murkowski,Republican,AK,1337,M001153
"ALZHEIMER'S ASSOCIATION -> Earl L. ""Buddy"" Carter",2000.0,2,6.0,4000.0,4,"Earl L. ""Buddy"" Carter",Republican,GA,1340,C001103
"AIRBUS AMERICAS, INC. (FORMERLY KNOWN AS AIRBUS GROUP, INC.) -> Katie Boyd Britt",2000.0,1,6.0,4500.0,2,Katie Boyd Britt,Republican,AL,1282,B001319
CSX CORPORATION -> Valerie P. Foushee,2000.0,1,7.0,8000.0,4,Valerie P. Foushee,Democrat,NC,1959,F000477
BNSF RAILWAY COMPANY -> Jay Obernolte,2000.0,2,7.0,19000.0,11,Jay Obernolte,Republican,CA,1322,O000019
"CITIGROUP WASHINGTON, INC. -> Michael Lawler",2000.0,1,8.0,9000.0,5,Michael Lawler,Republican,NY,1236,L000599
NATIONAL MINING ASSOCIATION -> Harriet M. Hageman,2000.0,2,8.0,12500.0,6,Harriet M. Hageman,Republican,WY,674,H001096
NATIONAL BUSINESS AVIATION ASSOCIATION INC -> Sean Casten,2000.0,2,8.0,2000.0,2,Sean Casten,Democrat,IL,389,C001117
RECORDING INDUSTRY ASSOCIATION OF AMERICA INC -> Madeleine Dean,2000.0,1,11.0,2000.0,1,Madeleine Dean,Democrat,PA,151,D000631
NUCOR CORPORATION -> Carol D. Miller,2000.0,1,13.0,22000.0,6,Carol D. Miller,Republican,WV,2041,M001205
GENERAL DYNAMICS CORPORATION -> Scott H. Peters,2000.0,2,13.0,15500.0,10,Scott H. Peters,Democrat,CA,1201,P000608
EXELON BUSINESS SERVICES LLC (FORMERLY KNOWN AS CONSTELLATION ENERGY GROUP) -> Chris Van Hollen,2000.0,2,14.0,2000.0,2,Chris Van Hollen,Democrat,MD,747,V000128
MICROSOFT CORPORATION -> John R. Moolenaar,2000.0,1,15.0,9000.0,4,John R. Moolenaar,Republican,MI,1875,M001194
RECORDING INDUSTRY ASSOCIATION OF AMERICA INC -> Marsha Blackburn,2000.0,1,15.0,11700.0,5,Marsha Blackburn,Republican,TN,151,B001243
"AIRBUS AMERICAS, INC. (FORMERLY KNOWN AS AIRBUS GROUP, INC.) -> Jasmine Crockett",2000.0,1,17.0,12000.0,4,Jasmine Crockett,Democrat,TX,1282,C001130
WALMART INC. -> Salud O. Carbajal,2000.0,2,18.0,6500.0,4,Salud O. Carbajal,Democrat,CA,1881,C001112
AMERICAN ACADEMY OF OPHTHALMOLOGY -> Brian Babin,2000.0,2,18.0,4000.0,4,Brian Babin,Republican,TX,481,B001291
WALMART INC. -> Jodey C. Arrington,2000.0,2,19.0,14500.0,13,Jodey C. Arrington,Republican,TX,1881,A000375
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Tim Kaine,2000.0,1,19.0,7000.0,5,Tim Kaine,Democrat,VA,635,K000384
CENTENE CORPORATION -> Ann Wagner,2000.0,1,20.0,9000.0,5,Ann Wagner,Republican,MO,1903,W000812
BRISTOL-MYERS SQUIBB COMPANY -> Robin L. Kelly,2000.0,2,21.0,9500.0,7,Robin L. Kelly,Democrat,IL,706,K000385
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Steve Daines",2000.0,1,22.0,5000.0,2,Steve Daines,Republican,MT,402,D000618
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION -> Nellie Pou,2000.0,2,23.0,10000.0,6,Nellie Pou,Democrat,NJ,157,P000621
SPECIALTY EQUIPMENT MARKET ASSOCIATION -> Blake D. Moore,2000.0,2,27.0,3000.0,3,Blake D. Moore,Republican,UT,487,M001213
AMERICAN LAND TITLE ASSOCIATION -> Brian Jack,2000.0,1,27.0,2000.0,1,Brian Jack,Republican,GA,388,J000311
INTEL CORPORATION -> Greg Stanton,2000.0,1,31.0,13500.0,6,Greg Stanton,Democrat,AZ,1901,S001211
"BP AMERICA, INC. -> Frank J. Mrvan",2000.0,1,31.0,8500.0,3,Frank J. Mrvan,Democrat,IN,1238,M001214
PARSONS CORPORATION -> Mark R. Warner,2000.0,1,34.0,9500.0,4,Mark R. Warner,Democrat,VA,2017,W000805
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Glenn Grothman",2000.0,1,34.0,4000.0,3,Glenn Grothman,Republican,WI,402,G000576
WALMART INC. -> Sheila Cherfilus-McCormick,2000.0,2,36.0,4000.0,4,Sheila Cherfilus-McCormick,Democrat,FL,1881,C001127
SAFARI CLUB INTERNATIONAL -> Blake D. Moore,2000.0,1,43.0,10000.0,3,Blake D. Moore,Republican,UT,1172,M001213
"CUMMINS, INC. -> Charles E. Schumer",2000.0,1,47.0,6000.0,2,Charles E. Schumer,Democrat,NY,2002,S000148
WALMART INC. -> Margaret Wood Hassan,2000.0,1,47.0,16000.0,6,Margaret Wood Hassan,Democrat,NH,1881,H001076
NATIONAL ASSOCIATION OF BROADCASTERS -> Eric Swalwell,2000.0,1,48.0,8000.0,5,Eric Swalwell,Democrat,CA,325,S001193
EXXON MOBIL CORPORATION -> Steven Horsford,2000.0,1,49.0,7000.0,3,Steven Horsford,Democrat,NV,1285,H001066
"YAHOO INC, AND VAR. SUBS/AFFILIATES (FKA COLLEGE PARENT, L.P. DBA ""YAHOO"") -> Gary C. Peters",2000.0,2,49.0,2000.0,2,Gary C. Peters,Democrat,MI,121,P000595
"AMAZON.COM SERVICES, INC. -> Suhas Subramanyam",2000.0,1,50.0,2000.0,1,Suhas Subramanyam,Democrat,VA,1225,S001230
"NASDAQ, INC. -> Mike Rounds",2000.0,1,51.0,2000.0,1,Mike Rounds,Republican,SD,1950,R000605
NORFOLK SOUTHERN CORPORATION -> Rick Larsen,2000.0,1,52.0,13500.0,6,Rick Larsen,Democrat,WA,1256,L000560
"AMAZON.COM SERVICES, INC. -> Gus M. Bilirakis",2000.0,1,52.0,6500.0,4,Gus M. Bilirakis,Republican,FL,1225,B001257
"AMAZON.COM SERVICES, INC. -> Randy Feenstra",2000.0,1,56.0,9000.0,6,Randy Feenstra,Republican,IA,1225,F000446
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Carol D. Miller",1888.0,4,42.0,5671.24,10,Carol D. Miller,Republican,WV,402,M001205
BOEING COMPANY -> Ann Wagner,1500.0,1,1.0,22000.0,14,Ann Wagner,Republican,MO,1942,W000812
AMERICAN VETERINARY MEDICAL ASSOCIATION -> John B. Larson,1500.0,1,2.0,12500.0,8,John B. Larson,Democrat,CT,411,L000557
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION -> Greg Stanton,1500.0,1,2.0,15000.0,7,Greg Stanton,Democrat,AZ,157,S001211
AMERICAN FINANCIAL SERVICES ASSOCIATION -> Mike Rounds,1500.0,1,5.0,12000.0,7,Mike Rounds,Republican,SD,482,R000605
LEAGUE OF CONSERVATION VOTERS -> Deborah K. Ross,1500.0,1,7.0,3575.0,4,Deborah K. Ross,Democrat,NC,508,R000305
"PFIZER, INC. -> Ruben Gallego",1500.0,1,10.0,3000.0,2,Ruben Gallego,Democrat,AZ,1879,G000574
NATIONAL MINING ASSOCIATION -> John Thune,1500.0,2,14.0,1500.0,2,John Thune,Republican,SD,674,T000250
"340B HEALTH -> Frank Pallone, Jr.",1500.0,1,28.0,4000.0,2,"Frank Pallone, Jr.",Democrat,NJ,1412,P000034
MICROSOFT CORPORATION -> Debbie Wasserman Schultz,1500.0,1,31.0,3000.0,2,Debbie Wasserman Schultz,Democrat,FL,1875,W000797
OCCIDENTAL PETROLEUM CORPORATION -> Vicente Gonzalez,1500.0,1,33.0,8500.0,4,Vicente Gonzalez,Democrat,TX,1246,G000581
"ALASKA AIRLINES, INC. -> Tammy Duckworth",1500.0,1,35.0,3500.0,2,Tammy Duckworth,Democrat,IL,1337,D000622
"ALTRIA CLIENT SERVICES, LLC -> Beth Van Duyne",1500.0,1,35.0,1500.0,1,Beth Van Duyne,Republican,TX,613,V000134
CVS HEALTH (AND SUBSIDIARIES) -> Steven Horsford,1500.0,1,36.0,8500.0,6,Steven Horsford,Democrat,NV,1230,H001066
"L3HARRIS TECHNOLOGIES, INC. -> Jeanne Shaheen",1500.0,1,42.0,25000.0,6,Jeanne Shaheen,Democrat,NH,1774,S001181
