entity,n_activities,n_filings,n_client_ids,first_year,last_year,n_years_span,raw_names_merged
KOHLER CO.,7,3,1,2022,2022,1,KOHLER CO.
MUTUAL OF OMAHA,7,7,1,2024,2026,3,MUTUAL OF OMAHA
"NETFLIX, INC.",7,7,2,2022,2024,3,"NETFLIX, INC."
"NOTARIZE, INC. DBA PROOF.COM",7,5,2,2024,2024,1,"NOTARIZE, INC. DBA PROOF.COM"
TRAVEL TECH: THE TRAVEL TECHNOLOGY ASSOCIATION,7,4,2,2024,2024,1,TRAVEL TECH: THE TRAVEL TECHNOLOGY ASSOCIATION
VISA,7,7,2,2022,2024,3,"VISA, INC.; VISA, U.S.A., INC."
UNIDOSUS,7,7,2,2022,2024,3,UNIDOSUS; UNIDOSUS (FKA NATIONAL COUNCIL OF LA RAZA)
AMERICAN LAND TITLE ASSOCIATION,6,6,2,2022,2022,1,AMERICAN LAND TITLE ASSOCIATION
ANCESTRY,6,6,1,2022,2024,3,ANCESTRY
"AURA SUB, LLC",6,6,1,2022,2024,3,"AURA SUB, LLC"
CLOUDFLARE,6,3,1,2022,2022,1,CLOUDFLARE
COLLEGE OF HEALTHCARE INFORMATION MANAGEMENT EXECUTIVES (CHIME),6,3,1,2022,2022,1,COLLEGE OF HEALTHCARE INFORMATION MANAGEMENT EXECUTIVES (CHIME)
CONSUMER DATA INDUSTRY ASSOCIATION,6,6,3,2022,2023,2,CONSUMER DATA INDUSTRY ASSOCIATION
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS",6,6,1,2022,2024,3,"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS"
DIGITAL ANALYTICS FREEDOM ALLIANCE,6,6,1,2022,2024,3,DIGITAL ANALYTICS FREEDOM ALLIANCE
DIGITAL CONTENT NEXT,6,6,1,2024,2025,2,DIGITAL CONTENT NEXT
FOOD MARKETPLACE INC,6,6,1,2022,2024,3,FOOD MARKETPLACE INC
GENERAL MOTORS COMPANY,6,6,2,2024,2024,1,GENERAL MOTORS COMPANY
HARTFORD INSURANCE GROUP (FKA HARTFORD FINANCIAL SERVICES GROUP),6,6,1,2025,2026,2,HARTFORD INSURANCE GROUP (FKA HARTFORD FINANCIAL SERVICES GROUP)
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,6,6,1,2022,2024,3,INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA
MARSH MCLENNAN,6,6,1,2022,2024,3,MARSH MCLENNAN
MICHELIN NORTH AMERICA INC,6,6,1,2024,2025,2,MICHELIN NORTH AMERICA INC
MOTOROLA SOLUTIONS INC,6,6,1,2022,2024,3,MOTOROLA SOLUTIONS INC
PACIFIC GAS AND ELECTRIC COMPANY,6,3,1,2022,2022,1,PACIFIC GAS AND ELECTRIC COMPANY
