member,bioguide,registrant,relationship,roster_clients_represented,n_contribution_items,total_amount,first_date,last_date
Moran,M000934,NATIONAL ASSOCIATION OF MANUFACTURERS,in_house,NATIONAL ASSOCIATION OF MANUFACTURERS,3,5000.0,2022-03-31,2022-08-24
Moran,M000934,ALABAMA FARMERS FEDERATION,in_house,ALABAMA FARMERS FEDERATION,1,5000.0,2022-09-16,2022-09-16
Moran,M000934,FINSECA,in_house,FINSECA,3,5000.0,2022-07-29,2025-11-25
Moran,M000934,CATERPILLAR INC.,third_party_firm,CATERPILLAR INC,1,5000.0,2022-09-06,2022-09-06
Moran,M000934,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,in_house,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,2,5000.0,2022-05-24,2022-06-22
Moran,M000934,ARENTFOX SCHIFF LLP,third_party_firm,"COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION; MARS, INCORPORATED",4,5000.0,2022-03-02,2023-07-16
Moran,M000934,THE PROCTER AND GAMBLE COMPANY,in_house,THE PROCTER AND GAMBLE COMPANY,2,5000.0,2022-03-08,2022-03-08
Moran,M000934,APPLE INC.,in_house,APPLE INC,4,4500.0,2022-08-01,2025-10-27
Moran,M000934,"ELEVATE GOVERNMENT AFFAIRS, LLC",third_party_firm,"LYTX, INC.; MICROSOFT CORPORATION",2,4000.0,2022-03-29,2023-03-31
Moran,M000934,STANTON PARK GROUP,third_party_firm,"INTUIT, INC. AND AFFILIATES",2,4000.0,2025-03-31,2025-07-31
Moran,M000934,MONUMENT ADVOCACY,third_party_firm,"ACCENTURE, LLP; ATLASSIAN; ENTERPRISE CLOUD COALITION; S&P GLOBAL MOBILITY (FORMERLY KNOWN AS IHS MARKIT D/B/A R.L. POLK & CO.); WORKDAY, INC.",5,3850.0,2023-11-12,2024-10-22
Moran,M000934,FIERCE GOVERNMENT RELATIONS,third_party_firm,"BUSINESS ROUNDTABLE; CHARTER COMMUNICATIONS, INC.; COMCAST CORPORATION; GENERAL MOTORS COMPANY; NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION; NATIONAL RETAIL FEDERATION; NEWS MEDIA ALLIANCE; THE HOME DEPOT; UPS (UNITED PARCEL SERVICE); YUM! BRANDS",1,3500.0,2025-07-31,2025-07-31
Moran,M000934,FIRST AMERICAN FINANCIAL CORPORATION,in_house,FIRST AMERICAN FINANCIAL CORPORATION,2,3500.0,2022-07-29,2023-09-28
Moran,M000934,"LEWIS-BURKE ASSOCIATES, LLC",third_party_firm,AMERICAN SOCIETY OF HUMAN GENETICS,7,3500.0,2022-06-29,2025-09-09
Moran,M000934,"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",third_party_firm,NATIONAL MULTIFAMILY HOUSING COUNCIL INC,1,3500.0,2024-10-29,2024-10-29
Moran,M000934,"YUM! BRANDS, INC.",third_party_firm,YUM! BRANDS INC,2,3250.0,2023-07-31,2025-10-27
Moran,M000934,"CROSSROADS STRATEGIES, LLC",third_party_firm,"AMERICAN LAND TITLE ASSOCIATION; AT&T SERVICES, INC.; AVENTIV TECHNOLOGIES LLC AND VARIOUS SUBSIDIARIES; CHUBB INA HOLDING COMPANY INC; CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS; DAPPER LABS INC.; DROPBOX, INC.; H&R BLOCK MANAGEMENT, LLC; KOCH GOVERNMENT AFFAIRS, LLC; KOHLER CO.; MARSH MCLENNAN; MORGAN STANLEY & CO LLC; NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES; SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION (SIFMA); TECHNET; TRANS UNION LLC; TRANSAMERICA COMPANIES; UNIVERSITY OF PHOENIX; VISA, INC.",2,3000.0,2022-03-21,2023-03-27
Moran,M000934,SQUIRE PATTON BOGGS,third_party_firm,DIGITAL ANALYTICS FREEDOM ALLIANCE; MATCH GROUP,3,3000.0,2022-10-03,2023-12-02
Moran,M000934,"MEHLMAN CONSULTING, INC.",third_party_firm,"CHUBB INA HOLDINGS, INC.; CLOUDFLARE; EPIC SYSTEMS CORPORATION; INDEED, INC.; INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI); NATIONAL RESTAURANT ASSOCIATION; NETFLIX, INC.; NOTARIZE, INC. DBA PROOF.COM; ONFIDO, INC.; PALO ALTO NETWORKS, INC.; RAPID7, INC.; RETAIL INDUSTRY LEADERS ASSOCIATION (RILA); ROCK CENTRAL; SAP AMERICA, INC.; THE BUSINESS ROUNDTABLE; TIKTOK INC.; TNC (US) HOLDINGS, INC. (FORMERLY NIELSEN); TWILIO, INC.",1,3000.0,2022-07-13,2022-07-13
Moran,M000934,"PHILIPS HOLDING USA, INC.",third_party_firm,PHILIPS HOLDING USA INC.,1,3000.0,2024-03-22,2024-03-22
Moran,M000934,OGR,third_party_firm,"AMERICAN BANKERS ASSOCIATION; AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION; AT&T SERVICES, INC.; BATH & BODY WORKS, INC.; CARVANA; CTIA-THE WIRELESS ASSOCIATION; DELL INC.; DIRECTV, LLC; ENTERTAINMENT SOFTWARE ASSOCIATION; META PLATFORMS, INC.; NIKE, INC.; PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA (PHRMA); UNITED STATES TELECOM ASSOCIATION; VERIZON COMMUNICATIONS INC AND VARIOUS SUBSIDIARIES; WELLS FARGO & COMPANY",4,2750.0,2022-05-30,2025-08-26
Moran,M000934,"GENENTECH, INC",third_party_firm,GENENTECH INC,4,2500.0,2022-02-17,2025-07-24
Moran,M000934,"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)",third_party_firm,TOYOTA MOTOR NORTH AMERICA INC (TMA),1,2500.0,2025-12-18,2025-12-18
Moran,M000934,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,third_party_firm,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,1,2500.0,2022-06-15,2022-06-15
Moran,M000934,"ZILLOW GROUP, INC.",in_house,"ZILLOW GROUP, INC.",2,2500.0,2022-06-16,2022-10-21
Moran,M000934,LOWE'S COMPANIES INC.,in_house,LOWE'S COMPANIES INC.,1,2500.0,2022-09-13,2022-09-13
Moran,M000934,WEST FRONT STRATEGIES LLC,third_party_firm,CONSUMER TECHNOLOGY ASSOCIATION; INTEL CORPORATION; NATIONAL INSURANCE CRIME BUREAU; VIZIO; WALGREEN CO.,2,2000.0,2022-03-16,2022-06-09
Moran,M000934,"DISNEY WORLDWIDE SERVICES, INC.",third_party_firm,DISNEY WORLDWIDE SERVICES INC,2,2000.0,2022-09-06,2025-06-06
Moran,M000934,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,in_house,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,2,2000.0,2022-06-28,2022-07-27
Moran,M000934,FOOD MARKETPLACE INC.,third_party_firm,FOOD MARKETPLACE INC,1,2000.0,2022-03-22,2022-03-22
Moran,M000934,HARTFORD INSURANCE GROUP (FKA HARTFORD FINANCIAL SERVICES GROUP),in_house,HARTFORD INSURANCE GROUP (FKA HARTFORD FINANCIAL SERVICES GROUP),1,1500.0,2022-03-24,2022-03-24
Moran,M000934,THORN RUN PARTNERS,third_party_firm,"COLLEGE OF HEALTHCARE INFORMATION MANAGEMENT EXECUTIVES (CHIME); COMCAST CORPORATION; EBAY INC; EQUIFAX INC.; JM FAMILY ENTERPRISES, INC; NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES; ONEMAIN FINANCIAL GROUP, LLC; PAYPAL; T-MOBILE USA, INC.",1,1500.0,2024-03-20,2024-03-20
Moran,M000934,INVARIANT LLC,third_party_firm,"APPLE INC.; CLOAKED, INC.; EVENTBRITE, INC.; H&R BLOCK MANAGEMENT, LLC; MERCARI, INC.; NATIONAL ASSOCIATION OF REALTORS; NATIONAL RETAIL FEDERATION; NEWS/MEDIA ALLIANCE; NEXTDOOR; NIANTIC, INC.; PREMISE; SALESFORCE, INC.; SHOPIFY INC.; SPACE EXPLORATION TECHNOLOGIES CORP.; THE BUSINESS ROUNDTABLE; TOYOTA MOTOR NORTH AMERICA, INC.; WORKDAY, INC.",2,1000.0,2022-08-02,2022-08-02
Moran,M000934,THE DUBERSTEIN GROUP INC.,third_party_firm,AMAZON.COM SERVICES LLC; MATCH GROUP,1,1000.0,2022-09-13,2022-09-13
Moran,M000934,INTERNATIONAL FRANCHISE ASSOCIATION,in_house,INTERNATIONAL FRANCHISE ASSOCIATION,1,1000.0,2022-09-28,2022-09-28
Moran,M000934,DGA GROUP GOVERNMENT RELATIONS LLC,third_party_firm,DIGITAL CONTENT NEXT,1,1000.0,2022-09-20,2022-09-20
Moran,M000934,"ENTERGY SERVICES, LLC",third_party_firm,ENTERGY SERVICES LLC,1,1000.0,2022-06-01,2022-06-01
Moran,M000934,MEDICAL PROFESSIONAL LIABILITY ASSOCIATION,in_house,MEDICAL PROFESSIONAL LIABILITY ASSOCIATION,1,1000.0,2022-09-28,2022-09-28
Moran,M000934,VENABLE LLP,third_party_firm,"NATIONAL ASSOCIATION OF INDEPENDENT SCHOOLS, INC.; NATIONAL BUSINESS COALITION ON E-COMMERCE AND PRIVACY",1,1000.0,2022-09-14,2022-09-14
Moran,M000934,"AIRBNB, INC.",in_house,"AIRBNB, INC.",1,1000.0,2022-07-13,2022-07-13
Moran,M000934,CAPITOL COUNSEL LLC,third_party_firm,"INTUIT, INC. AND AFFILIATES; JOINT COMMISSION ON ACCREDITATION OF HEALTHCARE ORGANIZATIONS; VERIZON COMMUNICATIONS, INC.",1,1000.0,2022-03-15,2022-03-15
Moran,M000934,RELX INC.,in_house,RELX INC,1,1000.0,2022-07-25,2022-07-25
Moran,M000934,"SAP AMERICA, INC.",in_house,"SAP AMERICA, INC.",1,1000.0,2022-11-02,2022-11-02
Moran,M000934,EBAY INC.,in_house,EBAY INC.,1,1000.0,2022-08-05,2022-08-05
Moran,M000934,"WHITMER & WORRALL, LLC",third_party_firm,PANASONIC CORPORATION OF NORTH AMERICA,1,1000.0,2023-11-13,2023-11-13
Moran,M000934,"1607 STRATEGIES, LLC",third_party_firm,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,1,500.0,2022-12-30,2022-12-30
Moran,M000934,"MOTION PICTURE ASSOCIATION, INC.",third_party_firm,MOTION PICTURE ASSOCIATION INC,1,500.0,2023-12-07,2023-12-07
Moran,M000934,"KOUNTOUPES DENHAM CARR & REID, LLC",third_party_firm,AIRBNB; AMERICAN CLINICAL LABORATORY ASSOCIATION; MOZILLA CORPORATION; PINTEREST INC.,1,500.0,2025-12-15,2025-12-15
Schakowsky,S001145,THE HOME DEPOT,in_house,HOME DEPOT,4,17500.0,2022-08-10,2023-12-17
Schakowsky,S001145,VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES,third_party_firm,VERIZON COMMUNICATIONS INC AND VARIOUS SUBSIDIARIES,9,14000.0,2022-06-17,2025-03-19
Schakowsky,S001145,TARGET CORPORATION,in_house,TARGET CORPORATION,2,7500.0,2022-06-06,2023-04-27
Schakowsky,S001145,"K&L GATES, LLP",third_party_firm,BOEING EMPLOYEES' CREDIT UNION,7,7000.0,2023-07-11,2023-07-11
