member,bioguide,contribution_date,amount,amount_num,contribution_type,contributor_name,payee_name,honoree_name_as_filed,filing_year,filing_period,filing_uuid,lda_url
Fitzgerald,F000471,2022-03-17,1500.00,1500.0,feca,CULAC,SCOTT FITZGERALD FOR CONGRESS,Rep. Scott Fitzgerald,2022,Mid-Year (Jan 1 - Jun 30),c809596c-366a-485b-8c71-0cebd0b1aa76,https://lda.gov/filings/public/contribution/c809596c-366a-485b-8c71-0cebd0b1aa76/print/
Fitzgerald,F000471,2022-06-21,3500.00,3500.0,feca,CULAC,SCOTT FITZGERALD FOR CONGRESS,Rep. Scott Fitzgerald,2022,Mid-Year (Jan 1 - Jun 30),c809596c-366a-485b-8c71-0cebd0b1aa76,https://lda.gov/filings/public/contribution/c809596c-366a-485b-8c71-0cebd0b1aa76/print/
Fitzgerald,F000471,2022-06-21,1500.00,1500.0,feca,CULAC,SCOTT FITZGERALD FOR CONGRESS,Rep. Scott Fitzgerald,2022,Mid-Year (Jan 1 - Jun 30),c809596c-366a-485b-8c71-0cebd0b1aa76,https://lda.gov/filings/public/contribution/c809596c-366a-485b-8c71-0cebd0b1aa76/print/
Fitzgerald,F000471,2023-03-15,1000.00,1000.0,feca,CULAC,SCOTT FITZGERALD FOR CONGRESS,Rep. Scott Fitzgerald,2023,Mid-Year (Jan 1 - Jun 30),d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
Fitzgerald,F000471,2023-06-06,2500.00,2500.0,feca,CULAC,SCOTT FITZGERALD FOR CONGRESS,Rep. Scott Fitzgerald,2023,Mid-Year (Jan 1 - Jun 30),d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
Fitzgerald,F000471,2023-12-12,1500.00,1500.0,feca,CULAC,SCOTT FITZGERALD FOR CONGRESS,Rep. Scott Fitzgerald,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Fitzgerald,F000471,2023-12-12,5000.00,5000.0,feca,CULAC,SCOTT FITZGERALD FOR CONGRESS,Rep. Scott Fitzgerald,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Fitzgerald,F000471,2024-09-11,2500.00,2500.0,feca,AMERICA'S CREDIT UNIONS PAC,SCONNIE PAC,Scott Fitzgerald,2024,Year-End (July 1 - Dec 31),84a0158c-daed-4dd7-86df-d2e5efb5ca90,https://lda.gov/filings/public/contribution/84a0158c-daed-4dd7-86df-d2e5efb5ca90/print/
Fitzgerald,F000471,2025-02-28,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,SCOTT FITZGERALD FOR CONGRESS,Scott Fitzgerald,2025,Mid-Year (Jan 1 - Jun 30),6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4,https://lda.gov/filings/public/contribution/6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4/print/
Gonzalez,G000581,2022-06-27,5000.00,5000.0,feca,CULAC,VICENTE GONZALEZ FOR CONGRESS,Rep. Vicente Gonzalez,2022,Mid-Year (Jan 1 - Jun 30),c809596c-366a-485b-8c71-0cebd0b1aa76,https://lda.gov/filings/public/contribution/c809596c-366a-485b-8c71-0cebd0b1aa76/print/
Gonzalez,G000581,2023-02-21,2500.00,2500.0,feca,CULAC,VICENTE GONZALEZ FOR CONGRESS,Rep. Vicente Gonzalez,2023,Mid-Year (Jan 1 - Jun 30),d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
